preference,index,std_delta_len,position_component,position_length_interaction,not_gamed_baseline
0.9972850149000001,0,-1.0693489112580563,1,-1.0693489112580563,False
0.9840936086000001,1,-7.604715911215948,1,-7.604715911215948,False
0.08509903020000009,2,0.2344341843911893,1,0.2344341843911893,False
0.9905874121,3,-1.1927353240955245,0,-0.0,False
0.8397339690000001,4,-0.6868510314619055,0,-0.0,False
0.7718435014,5,-0.21181334203765348,0,-0.0,False
0.00031503859999992834,6,0.13366861390725704,1,0.13366861390725704,False
0.999943502,7,-0.878099971359981,0,-0.0,False
0.9755769078000001,8,-1.3716456227098532,0,-0.0,False
0.20181321419999998,9,-0.5511259773406906,1,-0.5511259773406906,False
0.8128673178000001,10,-2.6466385553636895,1,-2.6466385553636895,False
0.7310585727000001,11,0.21592622246556908,1,0.21592622246556908,False
0.9991440994,12,-1.3963229052773467,0,-0.0,False
0.21206880100000003,13,-1.5916847256033377,1,-1.5916847256033377,False
0.43014734860000003,14,-1.8240624697805694,1,-1.8240624697805694,False
0.8080672213,15,-0.7135847542433569,1,-0.7135847542433569,False
0.9994472212000001,16,-1.3798713835656844,0,-0.0,False
0.09268777900000003,17,-0.4092316025776024,0,-0.0,False
0.9324533133000001,18,-0.33519975487512155,1,-0.33519975487512155,False
0.9343951610000001,19,-0.7567699987364707,0,-0.0,False
0.5851011542,20,-1.6533779320220718,0,-0.0,False
0.9966233875000001,21,-2.0070856488228137,0,-0.0,False
0.9850429165000001,22,-1.6287006494545782,0,-0.0,False
0.9979492568000001,23,-1.6883374156593545,1,-1.6883374156593545,False
0.9999995408,24,-1.0549538297603518,0,-0.0,False
0.8080672198000001,25,-0.5737468196942265,0,-0.0,False
0.2814056074,26,-0.7094718738154413,1,-0.7094718738154413,False
0.9539660999999999,27,-1.6554343722360296,1,-1.6554343722360296,False
0.1097057709,28,-1.19684820452344,1,-1.19684820452344,False
0.7371581588,29,0.526448694773197,0,0.0,False
0.9976768374,30,-1.3695891824958952,0,-0.0,False
0.9990600562,31,-0.7115283140293991,0,-0.0,False
0.9496693673000001,32,-1.8651912740597254,0,-0.0,False
0.7490872130999999,33,-1.1906788838815667,1,-1.1906788838815667,False
0.9999819415,34,-2.29087439834899,0,-0.0,False
0.9990889488000001,35,-1.394266465063389,0,-0.0,False
0.1441488529999999,36,-0.6971332325316945,1,-0.6971332325316945,False
0.9124361621000001,37,-1.5114835572589835,1,-1.5114835572589835,False
0.16451646009999998,38,-0.6416093467548338,1,-0.6416093467548338,False
0.9996540084000001,39,-3.0065155928063048,0,-0.0,False
0.9196425338,40,-1.4189437476308826,1,-1.4189437476308826,False
0.9539660988,41,-0.7362055965968927,0,-0.0,False
0.9615338092000001,42,-0.4585861677125896,0,-0.0,False
0.9996317021000001,43,-1.2132997262351024,0,-0.0,False
0.6076631698000001,44,-0.33519975487512155,1,-0.33519975487512155,False
0.9845754458,45,-2.4841797784610233,0,-0.0,False
0.9998028305,46,-2.239463393000045,0,-0.0,False
0.9989677689,47,-1.0199943461230692,0,-0.0,False
0.5312093734000001,48,-0.2693936680284719,0,-0.0,False
0.9173026494000001,49,-1.6492650515941563,0,-0.0,False
0.012053781199999891,50,-0.22620842353535808,1,-0.22620842353535808,False
0.9648551507,51,-0.8863257322158121,0,-0.0,False
0.9992678187000001,52,-0.35370771680074176,0,-0.0,False
0.9755769095,53,-2.3834142079770912,1,-2.3834142079770912,False
0.9981324343,54,-1.2420898892305117,0,-0.0,False
0.607663177,55,-1.0385023080486895,1,-1.0385023080486895,False
0.007121428800000107,56,-0.4935456513498722,1,-0.4935456513498722,False
0.9496693684999999,57,-0.6128191837594247,0,-0.0,False
0.8558511395999999,58,-0.70124611295961,0,-0.0,False
0.5621765008999999,59,-0.8184632051552048,1,-0.8184632051552048,False
0.9978172837000001,60,-0.5840290207640154,0,-0.0,False
0.9241418256,61,-0.47298124921029416,0,-0.0,False
0.9591542873000001,62,-0.5716903794802686,0,-0.0,False
0.9465966698000001,63,-1.9968034477530245,1,-1.9968034477530245,False
0.9992903298,64,-1.2462027696584272,0,-0.0,False
0.010986943800000093,65,-0.6909639118898211,1,-0.6909639118898211,False
0.5467381520000001,66,-1.3449118999284018,0,-0.0,False
0.9998644792,67,-0.6457222271827494,0,-0.0,False
0.5156199157000001,68,-2.015311409678645,1,-2.015311409678645,False
0.362969224,69,0.5511259773406906,0,0.0,False
0.9715639668,70,-0.3043531516657545,1,-0.3043531516657545,False
0.9999816571,71,-1.034389427620774,0,-0.0,False
0.23370634619999997,72,-1.6389828505243673,0,-0.0,False
0.9284088025000001,73,-0.6950767923177367,1,-0.6950767923177367,False
0.9825575119000001,74,-1.3716456227098532,0,-0.0,False
0.7431680124,75,-0.2570550267447251,1,-0.2570550267447251,False
0.9755769095,76,-0.8081810040854157,0,-0.0,False
0.9978172841999999,77,-0.8143503247272891,0,-0.0,False
0.9626731123000001,78,-0.7670521998062597,0,-0.0,False
0.7185943845,79,-0.939793177778715,1,-0.939793177778715,False
0.0003101560000000614,80,-0.13572505412121486,1,-0.13572505412121486,False
0.9997346977000001,81,-1.8220060295666114,0,-0.0,False
0.9989677691000001,82,-0.6642301891083696,1,-0.6642301891083696,False
0.8670357598,83,-0.2940709505959655,1,-0.2940709505959655,False
0.7606506563,84,-1.19684820452344,0,-0.0,False
0.9525741267000001,85,-0.5655210588383952,0,-0.0,False
0.9981324341,86,-0.4585861677125896,1,-0.4585861677125896,False
0.20181323680000007,87,-0.7176976346712725,1,-0.7176976346712725,False
0.9999008473,88,-1.2235819273048916,0,-0.0,False
0.9697854139,89,-0.629270705471087,0,-0.0,False
0.8740772319000001,90,-0.7978988030156267,0,-0.0,False
0.9992678187999999,91,-0.898664373499559,0,-0.0,False
0.0005527785999999146,92,0.2282648637493159,1,0.2282648637493159,False
0.9845754514,93,-0.5819725805500576,0,-0.0,False
0.38491215160000003,94,0.5922547816198467,0,0.0,False
0.8991213818000001,95,-1.4991449159752368,1,-1.4991449159752368,False
0.787931194,96,0.04318524449311382,0,0.0,False
0.11279541329999998,97,0.004112880427915602,1,0.004112880427915602,False
0.9916842197,98,-1.4847498344775323,1,-1.4847498344775323,False
0.4765796511,99,-1.4785805138356587,0,-0.0,False
0.06560484179999992,100,-0.475037689424252,1,-0.475037689424252,False
0.9990600562,101,-1.9865212466832356,0,-0.0,False
0.8670357621,102,-1.4888627149054479,1,-1.4888627149054479,False
0.9124361597000001,103,-1.8343446708503583,1,-1.8343446708503583,False
0.9999053874000001,104,-0.5840290207640154,0,-0.0,False
0.9999984943,105,-1.3243474977888237,0,-0.0,False
0.0550052887000001,106,-0.034959483637282615,1,-0.034959483637282615,False
0.9019206854000001,107,-1.1433807589605371,0,-0.0,False
0.9525741276999999,108,-1.1289856774628326,1,-1.1289856774628326,False
0.9980732657,109,-0.8698742105041497,0,-0.0,False
